Date,Fecha_Objetivo,close,Close_Siguiente,Objetivo,Logistica_probabilidad,Logistica_clase,Base_mayoritaria_probabilidad,Base_mayoritaria_clase,PyTorch_MLP_probabilidad,PyTorch_MLP_clase,Keras_LSTM_probabilidad,Keras_LSTM_clase
2019-09-17,2019-09-18,12.03,11.84000015258789,0,0.44717497,0,0.0,0,0.43975297,0,0.43552902,0
2019-09-18,2019-09-19,11.84,12.229999542236328,1,0.42491546,0,0.0,0,0.44211003,0,0.44011042,0
2019-09-19,2019-09-20,12.23,11.899999618530272,0,0.49712592,0,0.0,0,0.43769023,0,0.43415427,0
2019-09-20,2019-09-23,11.9,11.869999885559082,0,0.43801335,0,0.0,0,0.4341405,0,0.4344701,0
2019-09-23,2019-09-24,11.87,11.779999732971191,0,0.45687377,0,0.0,0,0.4493611,0,0.4489441,0
2019-09-24,2019-09-25,11.78,12.359999656677246,1,0.43327308,0,0.0,0,0.44654715,0,0.44986397,0
2019-09-25,2019-09-26,12.36,12.399999618530272,1,0.505762,1,0.0,0,0.4517529,0,0.4483538,0
2019-09-26,2019-09-27,12.4,13.06999969482422,1,0.44999313,0,0.0,0,0.4498889,0,0.45296323,0
2019-09-27,2019-09-30,13.07,13.0,0,0.5161181,1,0.0,0,0.4523862,0,0.44235185,0
2019-09-30,2019-10-01,13.0,12.760000228881836,0,0.42671397,0,0.0,0,0.45176005,0,0.44720474,0
2019-10-01,2019-10-02,12.76,13.130000114440918,1,0.45337993,0,0.0,0,0.45387557,0,0.44953567,0
2019-10-02,2019-10-03,13.13,13.109999656677246,0,0.46873945,0,0.0,0,0.45842806,0,0.4470828,0
2019-10-03,2019-10-04,13.11,13.510000228881836,1,0.4187348,0,0.0,0,0.45965347,0,0.4501004,0
2019-10-04,2019-10-07,13.51,13.359999656677246,0,0.49007776,0,0.0,0,0.4604908,0,0.44660982,0
2019-10-07,2019-10-08,13.36,12.710000038146973,0,0.52498925,1,0.0,0,0.45785156,0,0.4513069,0
2019-10-08,2019-10-09,12.71,12.75,1,0.43241078,0,0.0,0,0.45584032,0,0.45986697,0
2019-10-09,2019-10-10,12.75,13.390000343322754,1,0.46098855,0,0.0,0,0.46097058,0,0.4655004,0
2019-10-10,2019-10-11,13.39,13.0600004196167,0,0.50357467,1,0.0,0,0.46346924,0,0.46413994,0
2019-10-11,2019-10-14,13.06,12.850000381469728,0,0.44510698,0,0.0,0,0.45857796,0,0.46416277,0
2019-10-14,2019-10-15,12.85,13.239999771118164,1,0.499499,0,0.0,0,0.4632521,0,0.46809337,0
2019-10-15,2019-10-16,13.24,12.850000381469728,0,0.48478302,0,0.0,0,0.46067724,0,0.46837363,0
2019-10-16,2019-10-17,12.85,12.510000228881836,0,0.44899058,0,0.0,0,0.45812225,0,0.46824378,0
2019-10-17,2019-10-18,12.51,12.510000228881836,0,0.4474184,0,0.0,0,0.45669785,0,0.47361326,0
2019-10-18,2019-10-21,12.51,12.84000015258789,1,0.47067252,0,0.0,0,0.45884454,0,0.47719505,0
2019-10-21,2019-10-22,12.84,12.380000114440918,0,0.46243858,0,0.0,0,0.4566815,0,0.4749,0
2019-10-22,2019-10-23,12.38,12.6899995803833,1,0.4369512,0,0.0,0,0.45390365,0,0.47594547,0
2019-10-23,2019-10-24,12.69,12.420000076293944,0,0.5093808,1,0.0,0,0.4557938,0,0.47489452,0
2019-10-24,2019-10-25,12.42,12.729999542236328,1,0.46884048,0,0.0,0,0.45400664,0,0.47502974,0
2019-10-25,2019-10-28,12.73,11.279999732971191,0,0.52433926,1,0.0,0,0.45055825,0,0.46475574,0
2019-10-28,2019-10-29,11.28,11.390000343322754,1,0.4542181,0,0.0,0,0.4355011,0,0.46525154,0
2019-10-29,2019-10-30,11.39,11.399999618530272,1,0.52846754,1,0.0,0,0.44412434,0,0.44131574,0
2019-10-30,2019-10-31,11.4,11.5600004196167,1,0.4380283,0,0.0,0,0.45131508,0,0.4624152,0
2019-10-31,2019-11-01,11.56,11.789999961853027,1,0.43404883,0,0.0,0,0.45194554,0,0.4724482,0
2019-11-01,2019-11-04,11.79,12.539999961853027,1,0.42828116,0,0.0,0,0.4546458,0,0.48276874,0
2019-11-04,2019-11-05,12.54,12.68000030517578,1,0.4973701,0,0.0,0,0.45375383,0,0.46887323,0
2019-11-05,2019-11-06,12.68,12.199999809265137,0,0.47406766,0,0.0,0,0.4533272,0,0.45616964,0
2019-11-06,2019-11-07,12.2,12.59000015258789,1,0.42623854,0,0.0,0,0.4492992,0,0.45825934,0
2019-11-07,2019-11-08,12.59,12.40999984741211,0,0.514809,1,0.0,0,0.4553799,0,0.45438752,0
2019-11-08,2019-11-11,12.41,12.720000267028809,1,0.44128606,0,0.0,0,0.4544564,0,0.4579133,0
2019-11-11,2019-11-12,12.72,12.06999969482422,0,0.5165526,1,0.0,0,0.4564205,0,0.45674762,0
2019-11-12,2019-11-13,12.07,11.600000381469728,0,0.45100877,0,0.0,0,0.45088786,0,0.46625605,0
2019-11-13,2019-11-14,11.6,11.06999969482422,0,0.45646882,0,0.0,0,0.44924253,0,0.46741468,0
2019-11-14,2019-11-15,11.07,11.579999923706056,1,0.44687423,0,0.0,0,0.44878492,0,0.47501794,0
2019-11-15,2019-11-18,11.58,11.380000114440918,0,0.46288943,0,0.0,0,0.4574037,0,0.4863118,0
2019-11-18,2019-11-19,11.38,11.84000015258789,1,0.46552584,0,0.0,0,0.45601583,0,0.48668337,0
2019-11-19,2019-11-20,11.84,12.539999961853027,1,0.46364313,0,0.0,0,0.45837846,0,0.4809378,0
2019-11-20,2019-11-21,12.54,12.6899995803833,1,0.49137875,0,0.0,0,0.45358348,0,0.46363354,0
