archivo,pagina,tokens,terminos_distintos,montos_detectados,porcentajes_detectados,terminos_principales
galicia_2q2024.pdf,2,126,99,,,"nasdaq, byma, www, gfg, call"
galicia_2q2024.pdf,3,58,50,,,"llc, holding, companies, investments, tarjetas"
galicia_2q2024.pdf,4,66,56,"Ps.711,882 million; Ps.408,985 million",138%; 26.39%; 37.56%; 33.79%; 90%; 42.52%; 33.02%,"who, want, nera, gfg, thousands"
galicia_2q2024.pdf,5,42,34,,,"ratio, accrual, selected, portfolio, non"
galicia_2q2024.pdf,6,41,29,"Ps.408,985 million; Ps.295,576 
million; Ps.80,769 million; Ps.12,020 million; Ps.10,348 million",9.73%; 42.52%,"return, annualized, average, equity, results"
galicia_2q2024.pdf,7,79,52,,,"comprehensive, net, attributable, operating, expenses"
galicia_2q2024.pdf,8,73,52,,,"liabilities, assets, contracts, other, obligations"
galicia_2q2024.pdf,9,45,44,,,"digital, assisted, efficiently, distribution, defines"
galicia_2q2024.pdf,10,46,36,"Ps.585,178 million; Ps.295,577 million",124%; 1.98%; 160.30%; 37.14%; 30.04%; 54%; 36.90%; 31.78%; 6.50%; 5.48%; 28.76%; 11.89%; 10.49%; 89%,"thousands, cost, share, risk, market"
galicia_2q2024.pdf,11,122,67,"Ps.295,577 million; Ps.103,195 million; Ps.213,987 million; Ps.375,329 
million; Ps.1,258,296 million; Ps.243,920 million; Ps.1,014,376 million; Ps.318,263 million; Ps.56,235 million; Ps.85,494 million",54%; 36.90%; 8.95%; 34%; 1%; 24%; 46%; 72%; 69%,"net, operating, higher, results, than"
galicia_2q2024.pdf,12,16,15,,8.95%; 8.39%; 5.00%; 36.90%; 37.40%; 29.57%; 51.86%; 77.67%; 29.54%; 31.78%; 28.25%; 43.48%,"efficiency, profitability, margin, roa, roe"
galicia_2q2024.pdf,13,130,55,"Ps.8,646,193 million; Ps.1,909,292 million; Ps.1,868,294 million; Ps.1,375,703 million; Ps.1,007,178 million",18%; 42%; 33%; 92%; 75.24%,"earning, yield, interest, avg, bce"
galicia_2q2024.pdf,14,114,57,"Ps.6,127,081 million; Ps.2,473,234 million; Ps.2,514,599 
million",29%; 56%; 30.92%,"bearing, yield, avg, bce, interest"
galicia_2q2024.pdf,15,80,52,"Ps.1,011,498 million; Ps.318,263 million; Ps.693,235 million; Ps.1,486,504 million; Ps.1,911,309 
million; Ps.329,989 million; Ps.184,490 million",46%; 22%; 31%; 26%,"interest, loans, lower, financing, promissory"
galicia_2q2024.pdf,16,66,47,"Ps.475,006 million; Ps.743,068 million; Ps.621,258 million",61%; 67%,"interest, expenses, deposits, term, decrease"
galicia_2q2024.pdf,17,72,50,"Ps.118,660 million; Ps.126,058 
million; Ps.6,043 
million; Ps.5,516 million; Ps.4,042 million",6%; 25%; 21%; 78%,"fees, fee, trade, bundles, products"
galicia_2q2024.pdf,18,88,56,"Ps.37,999 million; Ps.85,494 million; Ps.123,493 million; Ps.19,157 million; Ps.134,188 million; Ps.56,235 million; Ps.77,953 million; Ps.83,066 million; Ps.37,710 million",69%; 414%; 83%,"instruments, result, securities, profit, net"
galicia_2q2024.pdf,19,65,48,"Ps.37,716 million; Ps.10,956 million; Ps.9,446 million; Ps.81,765 million; Ps.26,730 million",23%; 48%; 49%,"other, operating, those, loss, loan"
galicia_2q2024.pdf,20,86,57,"Ps.107,189 million; Ps.16,722 
million; Ps.6,455 million; Ps.6,397 million; Ps.124,226 million; Ps.28,339 million",18%; 28%; 37%; 30%; 4%,"expenses, increase, administrative, personnel, repairment"
galicia_2q2024.pdf,21,83,54,"Ps.159,485 million; Ps.11,314 million; Ps.170,799 million; Ps.39,970 million; Ps.18,970 million; Ps.26,255 million",7%; 33%; 932%; 13%,"expenses, other, operating, decrease, devaluation"
galicia_2q2024.pdf,22,28,23,"Ps.170,644 million; Ps.106,346 million; Ps.809 million",,"comprehensive, tax, higher, second, oci"
galicia_2q2024.pdf,23,88,58,,,"assets, liabilities, other, currency, foreign"
galicia_2q2024.pdf,24,87,58,"Ps.5,435,805 million; Ps.1,247,420 million; Ps.507,148 million",7%; 26%; 159%; 11.89%,"loans, financing, private, sector, leases"
galicia_2q2024.pdf,25,94,63,"Ps.4,611,132 million; Ps.481,911 million; Ps.432,323 million",13%; 26%; 24%,"loans, financing, other, notes, promissory"
galicia_2q2024.pdf,26,161,89,"Ps.5,996,749 million; Ps.3,776,915 million; Ps.1,160,575 million; Ps.1,563,492 million; Ps.5,301,478 million; Ps.2,993,380 million; Ps.119,476 
million",15%; 37%; 23%,"exposure, public, fair, amortized, securities"
galicia_2q2024.pdf,27,81,50,"Ps.8,339,471 million; Ps.2,672,107 million",24%; 58%; 8%; 10.49%,"deposits, time, accounts, june, saving"
galicia_2q2024.pdf,28,56,41,"Ps.2,377,976 million; Ps.1,088,957 million; Ps.1,289,019 million; Ps.977,717 million; Ps.46,006 million",84%; 220%,"liabilities, purchases, creditors, increase, negotiable"
galicia_2q2024.pdf,29,63,43,,80.13%; 55.07%; 104.92%; 65.94%,"liquid, liquidity, assets, deposits, percentage"
galicia_2q2024.pdf,30,95,64,"Ps.107,789 million",1.98%; 2.65%; 160.30%; 160.78%,"accrual, guarantees, non, losses, financing"
galicia_2q2024.pdf,31,60,39,"Ps.26,226 million; Ps.482 million",,"charge, loan, losses, allowance, charged"
galicia_2q2024.pdf,32,109,72,"Ps.2,741,038 million; Ps.777,746 million; Ps.1,963,292 million; Ps.440,908 
million; Ps.544,963 million; Ps.2,067,347 
million",252%; 189%; 28.76%,"capital, requirement, computable, allocated, excess"
galicia_2q2024.pdf,33,48,44,,,"them, world, use, accessible, biggest"
galicia_2q2024.pdf,34,43,36,"Ps.107,593 million; Ps.80,772 million",991%; 41.88%; 41.16%; 606%; 61.21%; 33.61%; 3.28%; 5.05%; 77%,"thousands, share, market, efficiency, roe"
galicia_2q2024.pdf,35,101,67,"Ps.80,772 
million; Ps.80,082 million; Ps.170,842 million; Ps.87,845 million; Ps.97,868 million; Ps.118,515 million; Ps.37,337 million",94%; 48%; 102%; 141%; 13.71%; 61.21%; 0.12%; 0.58%,"operating, net, expenses, increase, comprenhensive"
galicia_2q2024.pdf,36,17,16,,13.71%; 4.85%; 0.12%; 61.21%; 21.47%; 0.58%; 45.64%; 51.36%; 25.33%; 33.61%; 53.38%; 68.70%,"efficiency, profitability, margin, roa, glossary"
galicia_2q2024.pdf,37,58,43,,,"liabilities, assets, other, non, financing"
galicia_2q2024.pdf,38,57,48,,145.03%; 119.76%,"loan, quality, losses, coverage, ratio"
galicia_2q2024.pdf,39,55,39,,,"charge, loan, losses, charged, allowances"
galicia_2q2024.pdf,40,38,37,,,"needs, member, network, large, reflected"
galicia_2q2024.pdf,41,37,28,"Ps.11,491 million",233%; 93.26%; 200%; 178.41%; 52.24%,"sura, combined, thousands, attributable, roe"
galicia_2q2024.pdf,42,91,59,,,"comprehensive, expenses, attributable, operating, net"
galicia_2q2024.pdf,43,18,16,,14.21%; 21.33%; 178.41%; 55.62%; 52.24%; 121.91%; 91.36%; 35.77%; 82.64%; 74.20%,"efficiency, ratio, profitability, combined, roa"
galicia_2q2024.pdf,44,57,41,,,"assets, liabilities, contracts, other, insurance"
galicia_2q2024.pdf,45,23,21,,,"managing, multiple, distributed, agents, since"
galicia_2q2024.pdf,46,24,20,"Ps.25,390 million; Ps.12,020 million",5%; 23%; 12.8%; 27%,"management, under, billions, assets, net"
galicia_2q2024.pdf,47,45,34,,,"operating, net, results, expenses, gold"
galicia_2q2024.pdf,48,71,36,,,"renta, fima, acciones, mix, dólares"
galicia_2q2024.pdf,49,45,34,,,"assets, liabilities, other, non, total"
galicia_2q2024.pdf,50,48,37,"Ps.146,119 million; Ps.152,807 
million; Ps.35,384 million",4.5%,"dividends, amount, july, available, made"
galicia_2q2024.pdf,51,157,121,Ps.500 million,,"green, mendoza, environmental, sustainability, banco"
galicia_2q2024.pdf,52,215,133,,,"bcra, liquidity, bills, may, through"
galicia_2q2024.pdf,53,198,119,,,"expenses, net, other, average, risk"
galicia_2q2024.pdf,54,89,57,Ps.1 million,,"rate, price, index, argentine, exchange"
galicia_2q2024.pdf,55,23,19,,,"gfgsa, com, phone, web, mail"
