termino,tfidf_medio,frecuencia
other,0.0915072530289043,108
net,0.08054045811942433,85
assets,0.07219448676983813,62
liabilities,0.0590958324770907,36
expenses,0.05497027834775021,45
operating,0.053446146946562384,36
fima,0.048857950116099676,74
efficiency,0.048542439642682136,14
ratio,0.04683333058139747,22
loans,0.046642190406148906,39
interest,0.04576705743905335,46
financing,0.045575633930647654,40
information,0.044496543832690645,65
naranja,0.043945369538368514,62
seguros,0.04291807748832903,60
deposits,0.041143205071099406,34
total,0.04021910802717025,42
fondos,0.03948801195729887,27
changes,0.03935857122585974,58
relevant,0.03891166853573522,56
results,0.03865704333845852,28
esg,0.03852423810433365,56
regulatory,0.03833936604063148,56
loan,0.03694129659925961,26
roe,0.03599364490292931,15
non,0.03587453770084312,25
pesos,0.035503059450309675,50
sector,0.03305236832231179,27
variation,0.03162895378483132,39
decrease,0.02997764303586694,29
securities,0.02955304772594911,29
glossaryfondos,0.029407828183275836,31
foreign,0.029083265607965914,29
private,0.028331655805265483,19
result,0.0281491943874108,25
higher,0.027489404826111053,21
increase,0.027430043450489487,21
currency,0.027139747720410067,27
millions,0.026880284395386204,31
losses,0.02667263717798564,15
except,0.02654505695199487,30
noted,0.02654505695199487,30
otherwise,0.02654505695199487,30
glossarygalicia,0.025832715263155063,15
attributable,0.025809792690134083,15
compared,0.02560227421174139,23
second,0.024653913928314522,24
provisions,0.023284956745189055,18
comprehensive,0.02310468697752447,10
capital,0.02271225748788383,18
roa,0.02259339780120047,7
june,0.02233770587916064,19
thousands,0.02226587172759547,8
same,0.022115358582114875,20
negotiable,0.021428850114651163,11
accounts,0.021304526296859517,14
due,0.021202924663055733,16
charge,0.0206646672424572,9
risk,0.020607482290986287,16
credit,0.020580662426282474,17
tax,0.020472221118237842,12
bank,0.02038750085812478,19
profitability,0.02034641852567927,3
lower,0.020293049045197194,15
average,0.020154030513495663,15
glossary,0.020141860346586212,9
share,0.020034627184373877,8
accrual,0.019874548430613287,11
instruments,0.019442489096793657,16
obligations,0.019418717434165837,10
time,0.019311914601555923,15
allowance,0.019123639043229702,11
insurance,0.01904705569297154,13
